run_id,blind_id,primary,condition,task_scope,action,local_persistence,scope_action_consistent,gate_triggered,detected_triggers,gold_trigger_present,gold_triggers,rationale,finish_reason,latency_ms,transport_retries,total_tokens
V10-001,V10B03,NO,E,DIFFERENT_TASK_OR_LAYER,SWITCH_TO_GLOBAL_BOTTLENECK,0,1,0,,1,LIVE_EVIDENCE_GAP,"The calendar source, fixtures, and tests have been successfully updated and verified for consistency. The current local task of continuing to modify them is complete. The next step is to proceed towards production deployment (authorize-prod), which requires human authorization, so we must switch to the global bottleneck/next step.",STOP,6731,0,1762
V10-002,V10B10,NO,E,DIFFERENT_TASK_OR_LAYER,SWITCH_TO_GLOBAL_BOTTLENECK,0,1,1,LOCAL_GLOBAL_DIVERGENCE,1,LOCAL_GLOBAL_DIVERGENCE|EVIDENCE_STALL,ごみ品目データは123件と一定数蓄積されている一方、グローバル目標である「5秒で次の行動を理解できるaction-first化」が、ホームナビや手続き詳細、クエリ画面などの利用導線側で未着手のまま情報順で留まっています。データ追加を継続するよりも、ナビゲーションのaction-first化という本質的なボトルネックの解決に移行すべきです。,STOP,9104,0,2122
V10-003,V10B08,YES,B,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,"The sync of the confirmed differences is still in progress, with 4 hunks in app.js remaining unsynced. We should continue the current local task to complete the synchronization of these remaining hunks to ensure the public surface is byte-identical.",STOP,5191,0,1357
V10-004,V10B03,NO,A,STOPPED,STOP_LOCAL,0,1,0,,1,LIVE_EVIDENCE_GAP,"The calendar source, fixtures, and tests have been successfully updated and verified to be consistent. Since the authorize-prod step is human-only, the local task of modifying and verifying the source/tests is complete, and we can stop the local task to hand over for production deployment.",STOP,6101,0,1485
V10-005,V10B04,NO,A,STOPPED,STOP_LOCAL,0,1,0,,1,REPEATED_REPAIR|EVIDENCE_STALL,"The CSV rule UX changeset has already been successfully deployed and verified with a 45/45 SHA match, and the manifest is reset to NO_PENDING_CHANGESET. Repeating the staging of the same changeset is unnecessary and violates the global goal of applying it only once. Therefore, the local task should be stopped.",STOP,4328,0,1129
V10-006,V10B09,YES,A,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,"Since the DOI status in the README is still outdated while PUBLIC_REPORT_STATUS.md has been updated, we need to continue the current local task by updating the README to reflect the newly published Zenodo v1.0 status.",STOP,3895,0,1010
V10-007,V10B08,YES,A,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,shared/core.jsの同期が完了し、app.jsの残り4 hunksの同期が未完了であるため、引き続き同じローカルタスクを継続してapp.jsの同期を行う。,STOP,4641,0,1227
V10-008,V10B03,NO,B,DIFFERENT_TASK_OR_LAYER,SWITCH_TO_GLOBAL_BOTTLENECK,0,1,0,,1,LIVE_EVIDENCE_GAP,"The calendar source, fixtures, and tests have been fully updated and verified to be consistent. Continuing to modify them is no longer necessary. We must now transition to the next phase, which is the deployment and production release process (the global bottleneck), to deliver the changes to PROD.",STOP,6720,0,1599
V10-009,V10B07,YES,E,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,"The verified details for Loxonin Tape 50mg have been added. We now need to proceed with aligning the 100mg data and performing the regression confirmation as planned, with no process triggers or anomalies detected.",STOP,4013,0,1162
V10-010,V10B04,NO,E,STOPPED,STOP_LOCAL,0,1,1,OWNER_MANUAL_REPEAT|SCOPE_MISMATCH,1,REPEATED_REPAIR|EVIDENCE_STALL,"The CSV rule UX changeset has already been successfully deployed and verified with a 45/45 SHA match, and the manifest is reset. Attempting to stage and deploy the same changeset again violates the global goal of applying it 'only once' and constitutes an unnecessary manual repeat. Therefore, we must stop this local task.",STOP,5704,0,1496
V10-011,V10B10,NO,A,DIFFERENT_TASK_OR_LAYER,SWITCH_TO_GLOBAL_BOTTLENECK,0,1,0,,1,LOCAL_GLOBAL_DIVERGENCE|EVIDENCE_STALL,"With 123 waste records already populated, the database is sufficiently representative. To achieve the global goal of an 'action-first' navigation system within 5 seconds, we must shift focus from data accumulation to resolving the critical bottlenecks in the user interface, specifically transforming the information-first home navigation, procedure details, and query screens into action-first layouts.",STOP,5495,0,1433
V10-012,V10B09,YES,B,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,"The status doc (PUBLIC_REPORT_STATUS.md) has been updated, but the README still needs to be updated with the new DOI/Zenodo publication status to complete the synchronization task.",STOP,3806,0,1042
V10-013,V10B07,YES,A,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,ロキソニンテープ50mgのverified details追加が完了したため、引き続き100mgのデータ整備と両者の回帰確認を同じローカルタスク内で継続して実施する。,STOP,4172,0,1113
V10-014,V10B09,YES,E,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,"The status document (PUBLIC_REPORT_STATUS.md) has been successfully updated, and the next step is to update the README's DOI display to match the official Zenodo v1.0 publication status, continuing the current local task of synchronization.",STOP,4307,0,1189
V10-015,V10B02,NO,B,DIFFERENT_TASK_OR_LAYER,SWITCH_TO_GLOBAL_BOTTLENECK,0,1,0,,1,EVIDENCE_STALL,"Since the Product Completion Gate has passed and functional development is frozen (PRODUCT_COMPLETE_FOR_CUSTOMER_ZERO=YES), further modifications to PRODUCT_CANONICAL are no longer appropriate. We must transition to Operational Acceptance using real operational events to prove safety and reproducibility in Customer Zero's actual operations.",STOP,7562,0,1873
V10-016,V10B06,YES,B,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,The integration and consistency check between the Capability Measurement Cache and Capability Observation Record v0.3 schemas are still pending. Continuing the current local task is necessary to complete this verification.,STOP,4378,0,1160
V10-017,V10B01,NO,E,DIFFERENT_TASK_OR_LAYER,SWITCH_TO_GLOBAL_BOTTLENECK,0,1,1,LOCAL_GLOBAL_DIVERGENCE|SCOPE_MISMATCH,1,SCOPE_MISMATCH,Directly modifying the deploy mirror source code violates the established policy of not editing the mirror directly and fails to prevent future divergence upon the next sync. This creates a clear divergence between the local task and the global goal. We must stop direct manual repairs on the mirror and switch to addressing the sync relationship or modifying the development source of truth.,STOP,6934,0,1662
V10-018,V10B04,NO,B,STOPPED,STOP_LOCAL,0,1,0,,1,REPEATED_REPAIR|EVIDENCE_STALL,"The CSV rule UX changeset has already been successfully deployed and verified with a 45/45 SHA match, and the manifest has been reset to NO_PENDING_CHANGESET. Staging and deploying the same change again is redundant and violates the global goal of applying the change only once. Thus, the current local task is complete and should be stopped.",STOP,5579,0,1329
V10-019,V10B01,NO,A,DIFFERENT_TASK_OR_LAYER,SWITCH_TO_GLOBAL_BOTTLENECK,0,1,0,,1,SCOPE_MISMATCH,"Directly modifying the deploy mirror violates the repository policy and will result in changes being overwritten during the next sync. To prevent future divergence and maintain consistency, we must stop manual local edits and switch to addressing the development master source or the sync mechanism itself.",STOP,6845,0,1627
V10-020,V10B08,YES,E,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,"The synchronization of the finalized differences is in progress. Having completed the sync for shared/core.js, we must now proceed to sync the remaining 4 hunks in app.js to ensure the public surface is byte-identical. No process triggers are activated.",STOP,4912,0,1429
V10-021,V10B06,YES,A,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,"The schema candidate for Capability Observation Record v0.3 has been added, but the consistency check with the Capability Measurement Cache schema is still pending. We need to continue the local task to perform this validation and ensure alignment.",STOP,3754,0,1078
V10-022,V10B10,NO,B,DIFFERENT_TASK_OR_LAYER,SWITCH_TO_GLOBAL_BOTTLENECK,0,1,0,,1,LOCAL_GLOBAL_DIVERGENCE|EVIDENCE_STALL,"The waste database is sufficiently populated with 123 records, but the core global goal of an action-first navigation remains unfulfilled as the home nav, procedure details, and query screens are still information-first. We need to pivot to restructuring these user-facing flows to achieve the 5-second action comprehension goal.",STOP,5474,0,1468
V10-023,V10B02,NO,E,DIFFERENT_TASK_OR_LAYER,SWITCH_TO_GLOBAL_BOTTLENECK,0,1,1,SCOPE_MISMATCH|LOCAL_GLOBAL_DIVERGENCE,1,EVIDENCE_STALL,"The global policy has frozen functional development (PRODUCT_COMPLETE_FOR_CUSTOMER_ZERO=YES) and requires transitioning to operational acceptance using genuine business operations. Continuing to modify PRODUCT_CANONICAL or adjust validators locally conflicts with this freeze, triggering a SCOPE_MISMATCH and LOCAL_GLOBAL_DIVERGENCE. We must switch to the global bottleneck of operational acceptance.",STOP,7977,0,2135
V10-024,V10B06,YES,E,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,"Following the addition of the Capability Observation Record v0.3 schema candidate, we need to continue with the verification and alignment against the Capability Measurement Cache schema to ensure consistency. No process triggers are detected.",STOP,5952,0,1501
V10-025,V10B01,NO,B,DIFFERENT_TASK_OR_LAYER,SWITCH_TO_GLOBAL_BOTTLENECK,0,1,0,,1,SCOPE_MISMATCH,"Directly modifying the deploy mirror violates the repository policy of not editing it directly, and risks being overwritten in the next sync. To achieve the global goal of preventing re-divergence, we must stop the manual local fixes and switch to establishing the proper dev-to-sync relationship or updating the development source of truth.",STOP,5482,0,1377
V10-026,V10B07,YES,B,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,"The verified details for Loxonin Tape 50mg have been added, but the 100mg details and the regression confirmation are still pending. We need to continue the current local task to complete these remaining steps.",STOP,4429,0,1200
V10-027,V10B02,NO,A,DIFFERENT_TASK_OR_LAYER,SWITCH_TO_GLOBAL_BOTTLENECK,0,1,0,,1,EVIDENCE_STALL,"Since PRODUCT_COMPLETE_FOR_CUSTOMER_ZERO=YES is confirmed and no current product defects remain, further functional modifications to PRODUCT_CANONICAL are frozen. We must transition to the Operational Acceptance phase using genuine business operations.",STOP,7274,0,1781
V10-028,V10B05,YES,A,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,列Cの説明反映が完了し、残る列L（備考）の説明を承認済みin-cell notesからマニュアルへ反映する作業を継続するため。,STOP,4089,0,1082
V10-029,V10B05,YES,B,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,列C（対象）の説明はマニュアルに反映されましたが、列L（備考）の説明がまだ未反映のまま残っているため、引き続きこのローカルタスクを継続して列Lの反映を行います。,STOP,4326,0,1157
V10-030,V10B05,YES,E,SAME_LOCAL_TASK,CONTINUE_LOCAL,1,1,0,,0,,列Cの反映が完了し、残る列L（備考）の欠落説明を承認済みin-cell notesからマニュアルへ反映する作業を継続するため、同一のローカルタスクを継続します。プロセス上のトリガーは検出されていません。,STOP,4960,0,1381
